﻿Date,Value,Group
"Friday, Oct 29, 2004",650.237,MSCI
"Friday, Oct 29, 2010",796.444,MSCI
"Friday, Oct 30, 1992",123.602,MSCI
"Friday, Oct 30, 1998",472.791,MSCI
"Friday, Oct 30, 2009",657.515,MSCI
"Friday, Oct 30, 2015","1,590.89",MSCI
"Friday, Oct 31, 1997",362.194,MSCI
"Friday, Oct 31, 2003",599.686,MSCI
"Friday, Oct 31, 2008",672.706,MSCI
"Friday, Oct 31, 2014","1,444.55",MSCI
"Friday, Sep 28, 1990",88.053,MSCI
"Friday, Sep 28, 2001",536.792,MSCI
"Friday, Sep 28, 2007","1,027.78",MSCI
"Friday, Sep 28, 2012","1,010.02",MSCI
"Friday, Sep 28, 2018","2,583.61",MSCI
"Friday, Sep 29, 1995",208.182,MSCI
"Friday, Sep 29, 2000",749.753,MSCI
"Friday, Sep 29, 2006",832.043,MSCI
"Friday, Sep 29, 2017","2,079.57",MSCI
"Friday, Sep 30, 1994",161.408,MSCI
"Friday, Sep 30, 2005",826.228,MSCI
"Friday, Sep 30, 2011",801.317,MSCI
"Friday, Sep 30, 2016","1,681.23",MSCI
"Monday, Apr 30, 1990",88.519,MSCI
"Monday, Apr 30, 2001",615.099,MSCI
"Monday, Apr 30, 2007",977.363,MSCI
"Monday, Apr 30, 2012",991.743,MSCI
"Monday, Apr 30, 2018","2,308.65",MSCI
"Monday, Aug 31, 1992",116.286,MSCI
"Monday, Aug 31, 1998",413.469,MSCI
"Monday, Aug 31, 2009",653.353,MSCI
"Monday, Aug 31, 2015","1,514.93",MSCI
"Monday, Aug 31, 2020","3,345.13",MSCI
"Monday, Dec 31, 1990",95.941,MSCI
"Monday, Dec 31, 2001",575.561,MSCI
"Monday, Dec 31, 2007","1,067.42",MSCI
"Monday, Dec 31, 2012",987.686,MSCI
"Monday, Dec 31, 2018","2,172.61",MSCI
"Monday, Feb 28, 1994",168.305,MSCI
"Monday, Feb 28, 2005",737.889,MSCI
"Monday, Feb 28, 2011",879.033,MSCI
"Monday, Feb 29, 2016","1,512.67",MSCI
"Monday, Jan 31, 1994",171.35,MSCI
"Monday, Jan 31, 2000",731.69,MSCI
"Monday, Jan 31, 2005",697.33,MSCI
"Monday, Jan 31, 2011",846.228,MSCI
"Monday, Jul 31, 1995",200.649,MSCI
"Monday, Jul 31, 2000",764.952,MSCI
"Monday, Jul 31, 2006",823.856,MSCI
"Monday, Jul 31, 2017","1,997.53",MSCI
"Monday, Jun 30, 1997",354.255,MSCI
"Monday, Jun 30, 2003",547.652,MSCI
"Monday, Jun 30, 2008","1,035.90",MSCI
"Monday, Jun 30, 2014","1,377.03",MSCI
"Monday, Mar 31, 1997",291.437,MSCI
"Monday, Mar 31, 2003",486.858,MSCI
"Monday, Mar 31, 2008",933.475,MSCI
"Monday, Mar 31, 2014","1,312.60",MSCI
"Monday, Nov 30, 1992",130.185,MSCI
"Monday, Nov 30, 1998",511.386,MSCI
"Monday, Nov 30, 2009",701.799,MSCI
"Monday, Nov 30, 2015","1,597.34",MSCI
"Monday, Oct 31, 1994",164.207,MSCI
"Monday, Oct 31, 2005",800.745,MSCI
"Monday, Oct 31, 2011",866.538,MSCI
"Monday, Oct 31, 2016","1,646.32",MSCI
"Monday, Sep 30, 1991",114.928,MSCI
"Monday, Sep 30, 1996",263.463,MSCI
"Monday, Sep 30, 2002",509.239,MSCI
"Monday, Sep 30, 2013","1,173.53",MSCI
"Monday, Sep 30, 2019","2,594.48",MSCI
"Thursday, Apr 30, 1992",121.028,MSCI
"Thursday, Apr 30, 1998",461.604,MSCI
"Thursday, Apr 30, 2009",568.842,MSCI
"Thursday, Apr 30, 2015","1,512.99",MSCI
"Thursday, Apr 30, 2020","2,590.25",MSCI
"Thursday, Aug 31, 1995",199.06,MSCI
"Thursday, Aug 31, 2000",826.683,MSCI
"Thursday, Aug 31, 2006",816.661,MSCI
"Thursday, Aug 31, 2017","2,023.60",MSCI
"Thursday, Dec 31, 1992",133.011,MSCI
"Thursday, Dec 31, 1998",563.18,MSCI
"Thursday, Dec 31, 2009",721.627,MSCI
"Thursday, Dec 31, 2015","1,594.00",MSCI
"Thursday, Feb 28, 1991",105.714,MSCI
"Thursday, Feb 28, 2002",587.15,MSCI
"Thursday, Feb 28, 2013","1,048.18",MSCI
"Thursday, Feb 28, 2019","2,392.81",MSCI
"Thursday, Feb 29, 1996",235.457,MSCI
"Thursday, Jan 31, 1991",98.028,MSCI
"Thursday, Jan 31, 2002",582.173,MSCI
"Thursday, Jan 31, 2008",943.226,MSCI
"Thursday, Jan 31, 2013","1,028.87",MSCI
"Thursday, Jan 31, 2019","2,314.17",MSCI
"Thursday, Jul 31, 1997",383.832,MSCI
"Thursday, Jul 31, 2003",562.042,MSCI
"Thursday, Jul 31, 2008",940.685,MSCI
"Thursday, Jul 31, 2014","1,361.71",MSCI
"Thursday, Jun 30, 1994",154.736,MSCI
"Thursday, Jun 30, 2005",752.232,MSCI
"Thursday, Jun 30, 2011",916.027,MSCI
"Thursday, Jun 30, 2016","1,660.68",MSCI
"Thursday, Mar 31, 1994",160.475,MSCI
"Thursday, Mar 31, 2005",729.712,MSCI
"Thursday, Mar 31, 2011",895.498,MSCI
"Thursday, Mar 31, 2016","1,589.74",MSCI
"Thursday, May 31, 1990",98.439,MSCI
"Thursday, May 31, 2001",614.853,MSCI
"Thursday, May 31, 2007","1,011.65",MSCI
"Thursday, May 31, 2012",943.067,MSCI
"Thursday, May 31, 2018","2,385.00",MSCI
"Thursday, Nov 30, 1995",219.585,MSCI
"Thursday, Nov 30, 2000",685.344,MSCI
"Thursday, Nov 30, 2006",906.839,MSCI
"Thursday, Nov 30, 2017","2,238.10",MSCI
"Thursday, Oct 31, 1991",118.887,MSCI
"Thursday, Oct 31, 1996",271.427,MSCI
"Thursday, Oct 31, 2002",514.231,MSCI
"Thursday, Oct 31, 2013","1,233.41",MSCI
"Thursday, Oct 31, 2019","2,607.71",MSCI
"Thursday, Sep 30, 1993",167.421,MSCI
"Thursday, Sep 30, 1999",609.853,MSCI
"Thursday, Sep 30, 2004",645.558,MSCI
"Thursday, Sep 30, 2010",759.338,MSCI
"Tuesday, Apr 30, 1991",109.856,MSCI
"Tuesday, Apr 30, 1996",238.797,MSCI
"Tuesday, Apr 30, 2002",606.791,MSCI
"Tuesday, Apr 30, 2013","1,129.42",MSCI
"Tuesday, Apr 30, 2019","2,494.34",MSCI
"Tuesday, Aug 31, 1993",163.58,MSCI
"Tuesday, Aug 31, 1999",611.694,MSCI
"Tuesday, Aug 31, 2004",613.015,MSCI
"Tuesday, Aug 31, 2010",688.464,MSCI
"Tuesday, Dec 31, 1991",130.508,MSCI
"Tuesday, Dec 31, 1996",282.675,MSCI
"Tuesday, Dec 31, 2002",496.527,MSCI
"Tuesday, Dec 31, 2013","1,305.83",MSCI
"Tuesday, Dec 31, 2019","2,737.36",MSCI
"Tuesday, Feb 28, 1995",166.192,MSCI
"Tuesday, Feb 28, 2006",858.067,MSCI
"Tuesday, Feb 28, 2017","1,762.32",MSCI
"Tuesday, Feb 29, 2000",757.06,MSCI
"Tuesday, Jan 31, 1995",159.89,MSCI
"Tuesday, Jan 31, 2006",892.301,MSCI
"Tuesday, Jan 31, 2012",893.218,MSCI
"Tuesday, Jan 31, 2017","1,702.18",MSCI
"Tuesday, Jul 31, 1990",101.088,MSCI
"Tuesday, Jul 31, 2001",591.487,MSCI
"Tuesday, Jul 31, 2007",949.838,MSCI
"Tuesday, Jul 31, 2012",982.587,MSCI
"Tuesday, Jul 31, 2018","2,422.47",MSCI
"Tuesday, Jun 30, 1992",119.421,MSCI
"Tuesday, Jun 30, 1998",484.033,MSCI
"Tuesday, Jun 30, 2009",606.499,MSCI
"Tuesday, Jun 30, 2015","1,553.71",MSCI
"Tuesday, Jun 30, 2020","2,859.19",MSCI
"Tuesday, Mar 31, 1992",119.799,MSCI
"Tuesday, Mar 31, 1998",443.778,MSCI
"Tuesday, Mar 31, 2009",538.868,MSCI
"Tuesday, Mar 31, 2015","1,526.76",MSCI
"Tuesday, Mar 31, 2020","2,320.46",MSCI
"Tuesday, May 31, 1994",161.322,MSCI
"Tuesday, May 31, 2005",726.557,MSCI
"Tuesday, May 31, 2011",923.491,MSCI
"Tuesday, May 31, 2016","1,615.52",MSCI
"Tuesday, Nov 30, 1993",161.236,MSCI
"Tuesday, Nov 30, 1999",687,MSCI
"Tuesday, Nov 30, 2004",699.598,MSCI
"Tuesday, Nov 30, 2010",809.737,MSCI
"Tuesday, Oct 31, 1995",213.918,MSCI
"Tuesday, Oct 31, 2000",715.762,MSCI
"Tuesday, Oct 31, 2006",871.79,MSCI
"Tuesday, Oct 31, 2017","2,181.50",MSCI
"Tuesday, Sep 30, 1997",373.482,MSCI
"Tuesday, Sep 30, 2003",564.718,MSCI
"Tuesday, Sep 30, 2008",786.916,MSCI
"Tuesday, Sep 30, 2014","1,412.29",MSCI
"Wednesday, Apr 30, 1997",320.225,MSCI
"Wednesday, Apr 30, 2003",516.031,MSCI
"Wednesday, Apr 30, 2008","1,011.16",MSCI
"Wednesday, Apr 30, 2014","1,300.48",MSCI
"Wednesday, Aug 31, 1994",166.509,MSCI
"Wednesday, Aug 31, 2005",795.243,MSCI
"Wednesday, Aug 31, 2011",845.22,MSCI
"Wednesday, Aug 31, 2016","1,675.77",MSCI
"Wednesday, Dec 31, 1997",381.85,MSCI
"Wednesday, Dec 31, 2003",617.678,MSCI
"Wednesday, Dec 31, 2008",622.695,MSCI
"Wednesday, Dec 31, 2014","1,478.56",MSCI
"Wednesday, Feb 28, 1990",87.378,MSCI
"Wednesday, Feb 28, 2001",622.437,MSCI
"Wednesday, Feb 28, 2007",922.792,MSCI
"Wednesday, Feb 28, 2018","2,383.05",MSCI
"Wednesday, Feb 29, 2012",936.247,MSCI
"Wednesday, Jan 31, 1990",86.833,MSCI
"Wednesday, Jan 31, 1996",231.673,MSCI
"Wednesday, Jan 31, 2001",678.088,MSCI
"Wednesday, Jan 31, 2007",951.487,MSCI
"Wednesday, Jan 31, 2018","2,420.98",MSCI
"Wednesday, Jul 31, 1991",114.427,MSCI
"Wednesday, Jul 31, 1996",241.335,MSCI
"Wednesday, Jul 31, 2002",539.462,MSCI
"Wednesday, Jul 31, 2013","1,181.78",MSCI
"Wednesday, Jul 31, 2019","2,625.11",MSCI
